Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Price,Mileage,Engine_CC,Seating_Capacity,Service_Cost,Color,Owner_Type,State,Insurance_Status,Manufacturing_Plant,Number_of_Repairs,Previous_Accidents,Body_Type
1486,Mahindra,XUV300,2023,Diesel,Manual,580000,16.6,2000,7,20900,Silver,Third,Maharashtra,Not Insured,Chennai,4,1,Sedan
1487,Maruti Suzuki,Baleno,2022,CNG,Automatic,450000,11.2,2000,4,23700,Silver,Fourth & Above,Gujarat,Not Insured,Gurgaon,7,2,SUV
1488,Skoda,Octavia,2015,Petrol,Manual,2460000,13.4,800,7,14300,Blue,Third,Karnataka,Insured,Chennai,9,1,Coupe
1489,Volkswagen,Taigun,2015,CNG,Manual,2000000,29.8,2500,4,18200,Green,Second,Tamil Nadu,Insured,Chennai,6,4,Sedan
1490,Mahindra,XUV700,2015,Petrol,Manual,1760000,13,1200,5,14300,Grey,Third,West Bengal,Insured,Manesar,0,3,SUV
1491,Tata Motors,Harrier,2021,CNG,Manual,500000,17.9,2000,4,17800,White,First,Delhi,Insured,Manesar,10,0,Hatchback
1492,Kia,Carnival,2019,Diesel,Manual,3320000,21.3,1800,4,14700,Green,Second,Maharashtra,Insured,Surat,0,2,Hatchback
1493,Tata Motors,Altroz,2022,Petrol,Automatic,1170000,21.1,1200,7,8500,White,Second,Telangana,Insured,Manesar,0,0,SUV
1494,Maruti Suzuki,Baleno,2017,Diesel,Manual,2060000,13.6,1800,5,17700,Grey,Third,Telangana,Not Insured,Chennai,9,2,Coupe
1495,Honda,Civic,2015,CNG,Manual,3470000,29.4,2000,6,11500,Silver,Second,Telangana,Insured,Manesar,4,2,Coupe
1496,Maruti Suzuki,Swift,2021,Petrol,Automatic,700000,21.1,1000,5,22700,Green,Fourth & Above,Maharashtra,Insured,Manesar,0,5,Hatchback
1497,Tata Motors,Nexon,2023,CNG,Automatic,3180000,10.6,2000,5,9200,Red,First,Gujarat,Insured,Sanand,9,3,Hatchback
1498,Hyundai,Creta,2015,CNG,Manual,1910000,10.1,2500,6,7500,Red,Third,Tamil Nadu,Insured,Sanand,1,2,SUV
1499,Mahindra,XUV700,2018,Petrol,Manual,720000,28.8,1000,6,23800,Red,Third,West Bengal,Not Insured,Pune,6,3,Coupe
1500,Toyota,Innova,2022,CNG,Automatic,1200000,23.9,1800,6,24900,Silver,Second,Telangana,Not Insured,Gurgaon,5,4,SUV
1501,Honda,City,2023,Diesel,Manual,980000,22.7,1500,4,16600,Silver,Fourth & Above,Maharashtra,Insured,Gurgaon,7,0,Convertible
1502,Maruti Suzuki,Baleno,2016,Electric,Automatic,1810000,24.6,1500,6,24100,Grey,Second,Telangana,Not Insured,Manesar,3,0,SUV
1503,Toyota,Fortuner,2017,Electric,Automatic,3150000,20.7,2500,7,11900,White,Second,Gujarat,Insured,Pune,7,3,SUV
1504,Kia,EV6,2020,Petrol,Automatic,400000,26.4,2500,4,13300,Grey,Third,Delhi,Not Insured,Pune,6,5,SUV
1505,Volkswagen,Virtus,2015,Diesel,Manual,1410000,22.1,1000,4,12700,Grey,Second,Telangana,Insured,Surat,2,0,Hatchback
1506,Toyota,Urban Cruiser,2018,CNG,Automatic,2100000,14.5,1000,5,15400,Silver,First,Gujarat,Insured,Sanand,4,5,SUV
1507,Honda,WR-V,2017,Diesel,Automatic,3390000,13.9,1500,6,20100,Red,Second,Tamil Nadu,Insured,Pune,2,5,Hatchback
1508,Renault,Kwid,2021,Electric,Manual,1720000,15.7,1800,4,7800,Black,Second,Telangana,Insured,Chennai,6,4,Coupe
1509,Skoda,Slavia,2020,Petrol,Manual,410000,24.3,2000,7,6100,White,Third,Gujarat,Not Insured,Surat,6,3,Convertible
1510,Renault,Kiger,2019,CNG,Manual,420000,16.2,1500,6,7600,Silver,Second,Maharashtra,Insured,Manesar,2,0,Sedan
1511,Honda,Civic,2022,CNG,Automatic,880000,24.3,1800,5,24200,Red,Fourth & Above,Maharashtra,Not Insured,Chennai,2,1,Convertible
1512,Tata Motors,Nexon,2022,Petrol,Automatic,1720000,21.8,1800,5,14700,Green,Third,Karnataka,Not Insured,Gurgaon,5,3,Sedan
1513,Renault,Lodgy,2019,Diesel,Automatic,2790000,14.3,2500,7,23000,Black,Second,Gujarat,Not Insured,Sanand,4,1,Convertible
1514,Toyota,Urban Cruiser,2019,Electric,Automatic,2640000,21.8,800,4,23300,Black,First,Delhi,Insured,Chennai,9,4,Sedan
1515,Maruti Suzuki,WagonR,2019,Petrol,Manual,890000,16.7,1800,6,16500,Silver,First,Telangana,Not Insured,Manesar,2,1,Convertible
1516,Tata Motors,Nexon,2019,Diesel,Automatic,2630000,14.4,2500,4,12700,Blue,Third,West Bengal,Not Insured,Chennai,0,0,Hatchback
1517,Honda,Amaze,2022,Diesel,Automatic,1170000,22.5,2000,6,15600,White,Third,West Bengal,Not Insured,Chennai,3,2,Convertible
1518,Volkswagen,Taigun,2022,Petrol,Automatic,3440000,20.4,2000,6,19000,Black,Second,Tamil Nadu,Insured,Pune,6,0,SUV
1519,Maruti Suzuki,WagonR,2023,Diesel,Automatic,2720000,16.8,2000,7,16900,Silver,Fourth & Above,Karnataka,Not Insured,Sanand,9,0,Sedan
1520,Toyota,Fortuner,2020,Diesel,Manual,1530000,19.1,1000,5,16100,Silver,Second,Gujarat,Insured,Gurgaon,3,4,Hatchback
1521,Hyundai,i20,2024,Diesel,Automatic,720000,16.7,1800,5,6400,Red,First,Delhi,Not Insured,Manesar,0,1,Coupe
1522,Maruti Suzuki,Dzire,2024,CNG,Automatic,1420000,29.5,2000,6,12200,Green,Fourth & Above,Karnataka,Not Insured,Surat,9,5,Hatchback
1523,Volkswagen,Polo,2016,Electric,Manual,2310000,15.9,800,5,6400,Blue,Fourth & Above,Maharashtra,Insured,Surat,1,5,Hatchback
1524,Tata Motors,Harrier,2023,Petrol,Automatic,1250000,29.4,1200,6,21400,White,Fourth & Above,Tamil Nadu,Insured,Manesar,4,5,Sedan
1525,Skoda,Superb,2015,Petrol,Manual,1410000,25.3,2000,7,20600,Grey,Second,Telangana,Not Insured,Gurgaon,10,4,SUV
1526,Honda,City,2019,Electric,Manual,3250000,15.5,1200,5,9000,Green,First,Telangana,Insured,Manesar,0,0,Coupe
1527,Hyundai,Creta,2015,Diesel,Manual,2850000,11.6,1500,5,11000,Green,Third,Telangana,Not Insured,Pune,1,4,Coupe
1528,Tata Motors,Nexon,2016,Diesel,Manual,3250000,20.3,1800,5,20400,Red,Second,Gujarat,Not Insured,Surat,10,5,Coupe
1529,Tata Motors,Nexon,2023,CNG,Manual,550000,27.3,1800,5,18000,Black,Third,West Bengal,Insured,Surat,5,1,Sedan
1530,Hyundai,Venue,2023,Electric,Manual,1230000,23.8,2000,5,23200,Black,Fourth & Above,Delhi,Insured,Chennai,2,2,Hatchback
1531,Maruti Suzuki,Baleno,2017,Petrol,Automatic,790000,18.7,1000,6,22000,Red,Fourth & Above,Telangana,Insured,Pune,7,5,Coupe
1532,Volkswagen,Virtus,2018,Diesel,Automatic,780000,13.3,1800,6,9200,Silver,Second,Telangana,Not Insured,Surat,3,5,Hatchback
1533,Volkswagen,Taigun,2024,Petrol,Manual,1460000,21.6,800,4,10300,Black,First,Maharashtra,Not Insured,Pune,1,4,Hatchback
1534,Hyundai,Creta,2015,Petrol,Manual,2200000,22.1,2000,5,10000,Blue,Fourth & Above,Karnataka,Not Insured,Pune,1,5,SUV
1535,Tata Motors,Tiago,2021,Petrol,Automatic,1510000,24.1,800,6,11100,White,Third,Telangana,Insured,Gurgaon,7,0,Sedan
1536,Toyota,Camry,2023,Diesel,Manual,2090000,11.2,2500,6,23600,Green,Third,Tamil Nadu,Insured,Surat,2,1,Coupe
1537,Honda,WR-V,2019,CNG,Manual,2360000,13.8,2000,5,13200,Green,Second,Karnataka,Insured,Sanand,2,1,Sedan
1538,Hyundai,i10,2021,Diesel,Manual,2260000,24.7,2000,5,13700,Blue,Third,West Bengal,Not Insured,Gurgaon,6,1,Coupe
1539,Renault,Duster,2017,Petrol,Manual,3320000,29.2,2000,6,5600,Black,First,Karnataka,Insured,Gurgaon,4,0,Sedan
1540,Kia,EV6,2017,Electric,Manual,2920000,25.3,1200,4,18600,Green,Fourth & Above,Delhi,Insured,Pune,1,3,Convertible
1541,Renault,Duster,2017,Electric,Manual,2480000,24.3,2000,5,12500,Grey,Third,Maharashtra,Not Insured,Sanand,4,5,Convertible
1542,Mahindra,Bolero,2024,Electric,Manual,1380000,13.9,1200,7,12700,White,Third,Gujarat,Insured,Gurgaon,7,5,Hatchback
1543,Skoda,Octavia,2023,Electric,Automatic,1640000,11,2000,5,14100,White,Fourth & Above,Delhi,Insured,Sanand,5,0,SUV
1544,Renault,Triber,2016,Electric,Automatic,2450000,13.4,1500,4,21200,Green,Second,West Bengal,Not Insured,Surat,6,0,Coupe
1545,Toyota,Innova,2015,CNG,Automatic,2120000,11.5,800,7,21100,Red,Third,Tamil Nadu,Not Insured,Pune,9,2,Coupe
1546,Skoda,Slavia,2017,Petrol,Automatic,2410000,25.9,2000,6,20700,Green,Second,West Bengal,Not Insured,Gurgaon,0,4,SUV
1547,Renault,Kiger,2023,Electric,Automatic,1320000,23.3,1200,5,15100,Red,Second,West Bengal,Not Insured,Sanand,0,5,Coupe
1548,Mahindra,XUV700,2022,Petrol,Manual,2160000,25,2500,5,24600,Green,Third,Karnataka,Not Insured,Manesar,10,1,SUV
1549,Hyundai,i20,2024,Petrol,Manual,2950000,13.1,1500,7,17800,Grey,First,Tamil Nadu,Not Insured,Gurgaon,1,1,Hatchback
1550,Hyundai,Creta,2015,Diesel,Manual,1700000,22.5,1000,7,24300,Silver,Second,Delhi,Insured,Gurgaon,8,2,Coupe
1551,Maruti Suzuki,Swift,2017,Diesel,Manual,1890000,16.8,1200,4,19200,White,Third,West Bengal,Insured,Gurgaon,4,5,Coupe
1552,Honda,WR-V,2024,Petrol,Manual,1240000,11.2,2000,5,16000,Green,Second,Delhi,Not Insured,Sanand,2,0,Convertible
1553,Tata Motors,Tiago,2021,Diesel,Automatic,1730000,25.1,1200,4,21500,Grey,Fourth & Above,Telangana,Not Insured,Chennai,9,4,Convertible
1554,Skoda,Octavia,2019,Petrol,Manual,1530000,11.1,2000,7,13600,Red,First,Telangana,Insured,Surat,3,1,Sedan
1555,Hyundai,Verna,2021,Electric,Automatic,2650000,24.6,1800,4,10400,Red,First,Telangana,Not Insured,Gurgaon,3,1,Coupe
1556,Renault,Triber,2018,Electric,Manual,820000,25.3,2500,4,21200,White,Fourth & Above,Gujarat,Not Insured,Manesar,5,5,Sedan
1557,Maruti Suzuki,Dzire,2022,Diesel,Manual,2650000,15.4,800,4,8000,Blue,Fourth & Above,Karnataka,Insured,Manesar,9,5,SUV
1558,Maruti Suzuki,Swift,2015,CNG,Automatic,2160000,10.6,800,6,14200,Green,Second,Delhi,Insured,Pune,8,2,Hatchback
1559,Kia,Seltos,2017,Diesel,Manual,2820000,11.2,1800,6,23000,Black,Fourth & Above,Telangana,Not Insured,Chennai,4,1,Hatchback
1560,Kia,Sonet,2018,CNG,Manual,3220000,10,1500,6,19600,Red,First,Telangana,Not Insured,Chennai,7,5,Convertible
1561,Hyundai,Verna,2022,Diesel,Manual,1060000,23.7,1000,6,6300,Silver,Fourth & Above,Tamil Nadu,Insured,Sanand,4,3,SUV
1562,Skoda,Superb,2024,CNG,Manual,1680000,24.9,1200,7,11100,Silver,Third,West Bengal,Not Insured,Pune,2,3,Hatchback
1563,Hyundai,i10,2015,CNG,Manual,3310000,21.1,1500,6,5500,Red,Third,Telangana,Insured,Sanand,2,1,Hatchback
1564,Hyundai,i10,2017,CNG,Manual,2590000,20,1200,4,12400,Blue,Second,Gujarat,Insured,Pune,9,2,Sedan
1565,Honda,City,2024,Electric,Manual,1090000,16.5,1000,4,19500,Blue,First,Tamil Nadu,Not Insured,Surat,8,1,Coupe
1566,Kia,EV6,2017,Diesel,Manual,2150000,19.6,2000,4,24500,Grey,Third,Karnataka,Insured,Chennai,10,5,SUV
1567,Mahindra,XUV300,2021,CNG,Automatic,2030000,14.4,1500,4,8100,Silver,Fourth & Above,Gujarat,Insured,Surat,3,0,Coupe
1568,Skoda,Superb,2022,Electric,,1860000,12.3,2500,6,20600,Grey,Third,Gujarat,Insured,Sanand,10,1,Hatchback
1569,Volkswagen,Tiguan,2018,Petrol,Manual,2680000,22.2,1200,6,16600,Silver,Third,Gujarat,Not Insured,Pune,5,0,Convertible
1570,Kia,Sonet,2023,Electric,Manual,2680000,26.3,2500,5,13500,Green,Second,West Bengal,Not Insured,Chennai,9,1,Convertible
1571,Honda,WR-V,2023,Electric,Automatic,2290000,12.4,1000,7,14200,Green,Fourth & Above,Telangana,Not Insured,Chennai,6,0,Coupe
1572,Tata Motors,Punch,2020,Electric,Automatic,810000,28.5,1200,7,9600,Black,Fourth & Above,Maharashtra,Insured,Gurgaon,10,0,Hatchback
1573,Toyota,Glanza,2021,Electric,Automatic,1720000,16.7,1200,4,17400,Green,Fourth & Above,Gujarat,Insured,Sanand,6,3,Hatchback
1574,Renault,Lodgy,2020,Diesel,Manual,870000,18.7,1000,4,17800,Black,Second,Tamil Nadu,Not Insured,Gurgaon,7,3,SUV
1575,Mahindra,XUV300,2020,CNG,Automatic,2440000,27.6,1500,4,10000,Green,Fourth & Above,Tamil Nadu,Insured,Chennai,7,4,Coupe
1576,Mahindra,Bolero,2015,Petrol,Automatic,1970000,17.4,1000,5,16600,White,Fourth & Above,Karnataka,Insured,Sanand,1,2,SUV
1577,Mahindra,Scorpio,2016,Petrol,Automatic,2840000,20.6,2500,7,23600,Green,Third,Delhi,Not Insured,Sanand,5,5,Sedan
1578,Volkswagen,Taigun,2017,Diesel,Manual,1750000,16.9,1200,5,19600,Grey,Third,Delhi,Insured,Surat,3,2,Coupe
1579,Toyota,Glanza,2017,CNG,Manual,1960000,11.6,1000,7,6700,Red,Fourth & Above,Maharashtra,Insured,Manesar,9,1,Hatchback
1580,Tata Motors,Tiago,2016,Diesel,Automatic,1740000,22.6,2500,5,6300,Grey,First,West Bengal,Insured,Pune,0,4,Coupe
1581,Renault,Kiger,2015,CNG,Automatic,640000,10.9,1200,6,13800,Red,First,Telangana,Insured,Manesar,2,5,Sedan
1582,Volkswagen,Taigun,2023,Petrol,Manual,1930000,29.1,1500,5,19700,Blue,Fourth & Above,West Bengal,Insured,Manesar,2,1,Sedan
1583,Maruti Suzuki,Dzire,2023,Diesel,Automatic,3440000,23.8,1000,4,22500,Grey,First,Telangana,Insured,Chennai,6,1,SUV
1584,Mahindra,XUV300,2024,Petrol,Automatic,900000,13.9,1200,5,9800,Blue,Second,Gujarat,Not Insured,Surat,2,3,Sedan
1585,Maruti Suzuki,Baleno,2018,CNG,Automatic,2440000,15.1,2500,5,18800,Black,Third,Telangana,Not Insured,Pune,4,3,SUV
1586,Toyota,Fortuner,2018,Petrol,Automatic,3490000,16.4,1000,5,17700,Black,Second,Maharashtra,Insured,Manesar,7,5,Convertible
1587,Tata Motors,Harrier,2024,Petrol,Automatic,2270000,11.6,800,5,15000,White,Third,Karnataka,Not Insured,Manesar,3,0,SUV
1588,Volkswagen,Polo,2018,CNG,Automatic,3150000,24.6,2000,7,22000,Green,First,Karnataka,Not Insured,Sanand,6,0,SUV
1589,Skoda,Superb,2017,Electric,Manual,2110000,12.6,1200,5,20000,Grey,First,Delhi,Not Insured,Chennai,5,5,Sedan
1590,Toyota,Camry,2020,Electric,Automatic,1670000,21.7,1800,7,7800,Blue,Fourth & Above,Karnataka,Insured,Manesar,0,0,Coupe
1591,Skoda,Rapid,2022,Diesel,Automatic,670000,19.1,1500,7,5400,Red,First,Gujarat,Not Insured,Pune,0,3,Coupe
1592,Skoda,Superb,2015,Diesel,Manual,560000,22.9,1500,6,16100,Black,First,Tamil Nadu,Insured,Gurgaon,3,3,Convertible
1593,Tata Motors,Altroz,2024,CNG,Manual,1690000,18.1,1200,5,12000,Green,Fourth & Above,Karnataka,Not Insured,Gurgaon,2,4,Coupe
1594,Maruti Suzuki,Dzire,2017,CNG,Automatic,1200000,14.3,2000,7,10500,Black,Fourth & Above,Maharashtra,Not Insured,Chennai,9,0,SUV
1595,Skoda,Rapid,2017,Petrol,Automatic,1630000,22.6,2500,4,5400,Red,Third,Gujarat,Insured,Gurgaon,9,0,SUV
1596,Mahindra,XUV700,2020,Petrol,Manual,2410000,10.4,1500,5,17200,Green,First,Karnataka,Not Insured,Sanand,0,3,SUV
1597,Kia,Carens,2022,Petrol,Manual,2590000,25,1000,5,16700,Green,Third,West Bengal,Insured,Sanand,9,3,Convertible
1598,Maruti Suzuki,Ertiga,2019,Petrol,Manual,1940000,18.2,1500,7,20800,Blue,Third,Telangana,Not Insured,Pune,0,5,Hatchback
1599,Skoda,Rapid,2020,Diesel,Automatic,1850000,18.2,1000,6,15200,Blue,Second,Karnataka,Not Insured,Surat,10,4,Convertible
1600,Mahindra,Thar,2021,Electric,Manual,2400000,23,2000,7,5300,Grey,First,West Bengal,Not Insured,Chennai,0,3,SUV
1601,Maruti Suzuki,WagonR,2024,Petrol,Manual,980000,14.4,800,5,11500,Grey,First,Gujarat,Not Insured,Chennai,6,5,Hatchback
1602,Kia,EV6,2015,Electric,Manual,1160000,29.6,800,7,14800,Silver,Second,Karnataka,Insured,Gurgaon,4,1,Sedan
1603,Tata Motors,Harrier,2023,CNG,Automatic,970000,27,2000,6,20800,Silver,Third,West Bengal,Insured,Manesar,7,4,Hatchback
1604,Toyota,Camry,2018,Electric,Automatic,2260000,23.5,800,4,18400,White,First,Tamil Nadu,Not Insured,Manesar,6,0,Convertible
1605,Kia,Carens,2017,CNG,Automatic,770000,18.6,2500,6,15300,Black,Third,Delhi,Insured,Surat,1,1,Coupe
1606,Maruti Suzuki,Swift,2022,CNG,Automatic,550000,22.3,1200,7,8800,Grey,Second,Gujarat,Not Insured,Manesar,10,2,Coupe
1607,Skoda,Octavia,2021,CNG,Manual,3100000,12.8,1800,4,12300,Blue,Fourth & Above,West Bengal,Insured,Surat,4,0,Sedan
1608,Kia,Carnival,2024,Petrol,Automatic,2550000,24.8,1500,7,7700,Red,Third,Maharashtra,Insured,Pune,4,2,Sedan
1609,Skoda,Rapid,2015,Diesel,Automatic,1980000,11.9,2500,7,10600,Blue,First,Karnataka,Insured,Chennai,2,1,Convertible
1610,Honda,Civic,2015,Diesel,Automatic,2670000,21.8,2000,7,14600,Black,Fourth & Above,West Bengal,Not Insured,Gurgaon,7,4,Convertible
1611,Skoda,Kushaq,2018,CNG,Manual,1210000,21.4,1000,7,21200,Silver,Third,Telangana,Insured,Pune,8,3,Coupe
1612,Mahindra,Scorpio,2024,Diesel,Automatic,3000000,19.5,800,5,20500,Blue,Third,West Bengal,Insured,Sanand,7,2,Hatchback
1613,Skoda,Octavia,2023,Petrol,Manual,2050000,16.9,2500,4,9900,White,Fourth & Above,West Bengal,Not Insured,Sanand,3,1,Sedan
1614,Mahindra,XUV700,2021,CNG,Automatic,3100000,29.7,1200,5,21700,Black,Fourth & Above,Telangana,Not Insured,Sanand,5,3,Convertible
1615,Mahindra,XUV300,2024,Diesel,Automatic,3000000,12.6,800,7,5900,Silver,Fourth & Above,Delhi,Not Insured,Surat,5,3,Convertible
1616,Hyundai,i10,2015,Electric,Manual,1500000,28.7,2500,7,10700,Red,First,Telangana,Insured,Surat,4,1,SUV
1617,Skoda,Kushaq,2021,Diesel,Manual,2490000,18.7,2000,7,10500,Silver,First,Telangana,Insured,Chennai,10,0,SUV
1618,Kia,Carnival,2016,Diesel,Manual,3040000,12.6,2500,7,12000,Green,Third,Maharashtra,Insured,Sanand,0,1,Sedan
1619,Mahindra,Thar,2023,CNG,Manual,1160000,25.9,800,7,13000,White,Third,Telangana,Insured,Surat,4,1,Hatchback
1620,Mahindra,Scorpio,2020,Diesel,Automatic,740000,26.9,1200,7,23600,Black,Second,Maharashtra,Insured,Surat,2,0,Hatchback
1621,Hyundai,Verna,2017,CNG,Manual,1400000,19.3,1500,6,24100,Red,First,Tamil Nadu,Insured,Manesar,10,4,Hatchback
1622,Hyundai,i10,2022,Electric,Automatic,3290000,17.1,800,7,6900,White,Third,Telangana,Not Insured,Surat,3,4,Sedan
1623,Kia,Sonet,2023,CNG,Manual,2980000,28.1,1500,6,20400,Silver,Fourth & Above,Delhi,Insured,Sanand,1,2,Coupe
1624,Mahindra,Scorpio,2018,Petrol,Automatic,3020000,29.3,2000,7,6600,White,Fourth & Above,Telangana,Insured,Pune,6,0,SUV
1625,Skoda,Superb,2021,Petrol,Manual,2710000,29,1000,5,15900,Black,First,West Bengal,Insured,Sanand,9,3,Hatchback
1626,Maruti Suzuki,Dzire,2021,CNG,Manual,2710000,25.6,2500,6,22200,Grey,Fourth & Above,Gujarat,Not Insured,Manesar,7,5,Coupe
1627,Skoda,Octavia,2018,Electric,Automatic,1900000,26.4,1000,7,18800,White,Second,Delhi,Insured,Sanand,9,2,Convertible
1628,Toyota,Fortuner,2024,Diesel,Manual,1750000,28.7,1500,5,15600,Green,Third,Telangana,Not Insured,Gurgaon,2,1,Sedan
1629,Toyota,Glanza,2023,CNG,Automatic,600000,21.1,2000,6,15300,White,Third,Delhi,Insured,Manesar,0,5,Hatchback
1630,Tata Motors,Punch,2015,Electric,Manual,1970000,23.1,2000,7,23500,Silver,Third,Maharashtra,Not Insured,Chennai,6,0,SUV
1631,Honda,Amaze,2017,CNG,Automatic,3270000,29.1,800,4,16700,Silver,First,Tamil Nadu,Not Insured,Sanand,7,2,Sedan
1632,Maruti Suzuki,WagonR,2018,Petrol,Automatic,3400000,25.7,2000,5,8500,Red,Fourth & Above,Tamil Nadu,Not Insured,Surat,5,5,Coupe
1633,Skoda,Kushaq,2020,CNG,Manual,1730000,18.3,800,4,22300,Silver,Second,Delhi,Insured,Pune,4,0,Hatchback
1634,Renault,Duster,2016,Electric,Automatic,2410000,17.6,800,6,21100,Blue,First,Delhi,Not Insured,Sanand,9,2,Coupe
1635,Mahindra,Scorpio,2016,Diesel,Automatic,1080000,27.6,1500,4,15200,Black,Third,Telangana,Insured,Pune,3,1,Convertible
1636,Hyundai,i10,2022,Petrol,Manual,1680000,17,2000,6,23400,Black,Second,Karnataka,Not Insured,Gurgaon,9,0,Hatchback
1637,Volkswagen,Taigun,2024,CNG,Manual,2860000,29.7,2500,6,19400,Grey,Third,West Bengal,Insured,Chennai,3,4,Convertible
1638,Kia,Carnival,2020,Diesel,Automatic,2190000,22.9,1000,6,16600,Grey,Third,Maharashtra,Not Insured,Surat,4,4,SUV
1639,Hyundai,i10,2023,CNG,Manual,1720000,28.9,2000,6,18000,Black,First,West Bengal,Not Insured,Manesar,3,2,Hatchback
1640,Toyota,Glanza,2015,Petrol,Automatic,3120000,15.3,1000,7,15500,Green,Third,Gujarat,Insured,Manesar,10,0,SUV
1641,Hyundai,Verna,2020,CNG,Manual,1500000,16.4,1000,4,10100,Grey,Second,Gujarat,Not Insured,Chennai,9,0,Coupe
1642,Honda,Civic,2023,Petrol,Automatic,1030000,21.9,800,5,17100,Red,Third,Tamil Nadu,Insured,Gurgaon,6,5,Convertible
1643,Tata Motors,Harrier,2017,CNG,Automatic,3280000,19.1,2500,5,22400,Silver,Fourth & Above,Maharashtra,Not Insured,Gurgaon,9,2,Convertible
1644,Tata Motors,Punch,2024,Electric,Automatic,2300000,14.1,1800,7,11400,Black,Third,West Bengal,Not Insured,Sanand,0,0,Hatchback
1645,Hyundai,i10,2024,Petrol,Automatic,1340000,13.6,2500,6,7800,Grey,First,Tamil Nadu,Insured,Gurgaon,4,3,Coupe
1646,Skoda,Rapid,2023,Electric,Automatic,2070000,15.3,2500,4,6400,Black,Second,Gujarat,Insured,Sanand,5,2,Coupe
1647,Mahindra,Scorpio,2022,CNG,Manual,3250000,14.2,2000,4,20500,Blue,First,Delhi,Insured,Pune,3,2,Coupe
1648,Skoda,Rapid,2018,Diesel,Automatic,1040000,24.4,2000,7,5400,White,Fourth & Above,Maharashtra,Not Insured,Chennai,10,0,Sedan
1649,Toyota,Urban Cruiser,2024,Electric,Automatic,460000,14.5,1800,7,14400,Silver,Third,Maharashtra,Insured,Pune,9,4,Convertible
1650,Skoda,Rapid,2018,Petrol,Automatic,2020000,10.5,2000,7,21700,Black,First,West Bengal,Insured,Pune,2,2,Convertible
1651,Skoda,Rapid,2024,Diesel,Manual,920000,22.7,1800,6,23800,White,First,Telangana,Not Insured,Pune,5,4,SUV
1652,Maruti Suzuki,WagonR,2019,Petrol,Manual,1940000,21.9,1800,7,21600,Grey,First,Karnataka,Insured,Pune,2,2,Hatchback
1653,Maruti Suzuki,Dzire,2022,Electric,Automatic,780000,15.6,1200,5,11500,White,First,West Bengal,Insured,Manesar,8,1,SUV
1654,Toyota,Fortuner,2015,Petrol,Manual,2020000,11.4,1000,7,14400,Silver,Fourth & Above,Delhi,Not Insured,Gurgaon,7,4,SUV
1655,Mahindra,XUV700,2018,Petrol,Automatic,2300000,23.8,1500,5,7900,Black,Fourth & Above,Telangana,Not Insured,Chennai,8,2,Sedan
1656,Maruti Suzuki,Baleno,2020,Electric,Manual,2320000,16,1800,4,15900,Blue,Third,Telangana,Not Insured,Chennai,3,3,Coupe
1657,Skoda,Octavia,2022,Electric,Automatic,520000,28.3,1200,5,22100,Green,Third,Telangana,Not Insured,Surat,5,3,SUV
1658,Kia,Sonet,2024,Diesel,Automatic,3350000,14.9,1000,5,18400,Grey,Second,Delhi,Not Insured,Pune,7,3,Convertible
1659,Skoda,Superb,2021,Diesel,Manual,2480000,29.3,1800,6,12500,Black,Fourth & Above,Tamil Nadu,Insured,Chennai,3,0,Hatchback
1660,Kia,Carens,2020,Diesel,Automatic,820000,20.5,2000,6,9900,Silver,First,Maharashtra,Not Insured,Sanand,3,1,Sedan
1661,Toyota,Fortuner,2021,Electric,Manual,450000,28.3,800,5,6600,Grey,First,Tamil Nadu,Not Insured,Chennai,8,3,Convertible
1662,Mahindra,Bolero,2015,Petrol,Automatic,2460000,24.4,2000,5,16300,Red,Second,Delhi,Not Insured,Pune,1,4,Convertible
1663,Skoda,Rapid,2023,CNG,Automatic,1740000,12.3,1500,4,16800,White,First,Karnataka,Insured,Chennai,3,2,SUV
1664,Skoda,Rapid,2022,Diesel,Automatic,1580000,20.3,1000,7,23500,Green,Second,Maharashtra,Insured,Gurgaon,3,3,Hatchback
1665,Tata Motors,Altroz,2019,Electric,Manual,860000,27.3,1500,4,21200,Silver,Third,Delhi,Insured,Pune,0,3,Coupe
1666,Skoda,Superb,2018,Electric,Automatic,930000,17.2,2000,5,22300,Red,Fourth & Above,Karnataka,Insured,Manesar,7,4,Hatchback
1667,Mahindra,Thar,2021,Petrol,Manual,3090000,10.9,1500,7,24000,Black,Second,West Bengal,Not Insured,Gurgaon,3,3,SUV
1668,Skoda,Rapid,2024,Diesel,Manual,770000,21.3,1800,4,12000,Blue,First,Gujarat,Not Insured,Chennai,4,0,Convertible
1669,Hyundai,i20,2022,Petrol,Manual,1910000,11.1,1500,7,12700,Grey,Second,Telangana,Not Insured,Manesar,5,5,Coupe
1670,Hyundai,Verna,2017,Petrol,Automatic,2450000,13.4,1000,4,12200,White,Third,Delhi,Insured,Surat,3,0,Hatchback
1671,Hyundai,i10,2023,CNG,Automatic,1870000,27.3,1200,4,8800,Grey,First,Gujarat,Not Insured,Gurgaon,10,4,Sedan
1672,Mahindra,Thar,2022,Electric,Automatic,1700000,28.8,1500,5,5200,Green,Third,Tamil Nadu,Insured,Surat,10,5,Coupe
1673,Volkswagen,Vento,2018,Electric,Manual,1900000,29.2,2500,5,14700,Black,Third,Gujarat,Insured,Sanand,3,5,SUV
